you,ты
homey,домашний
heed,прислушиваться
heartbroken,убитый горем
groove,паз
greatly,сильно
forge,ковать
florist,флорист
firsthand,из первых рук
fiend,злодей
expanding,расширение
drummer,барабанщик
dandy,денди
crippled,искалеченный
craving,страстное желание
connote,коннотировать
conditioner,кондиционер
bubbly,игристый
beeper,пищалка
baptism,крещение
ache,болеть
womb,матка
wiring,проводка
tummy,животик
surrogate,суррогат
stray,заблудший
snob,сноб
slowing,замедление
scoot,бегать
scanner,сканер
rightful,законный
richest,самый богатый
prophet,пророк
paralysis,паралич
mellow,мягкий
makeover,макияж
jade,нефрит
interstate,межгосударственный
historic,исторический
flock,стадо
disgusted,отвращение
clam,моллюск
broadsheet,листовка
brew,заваривать
borrowing,заимствование
wildest,самый дикий
unauthorized,несанкционированный
troll,тролль
snatch,урвать
retro,ретро
quilt,лоскутное одеяло
painfully,мучительно
outlet,выход
mainland,материк
lonesome,одинокий
lawfully,законно
intercept,перехватить
hector,Гектор
hamster,хомяк
grownup,взрослый
goldfish,золотая рыбка
glued,приклеенный
ghetto,гетто
gait,походка
delusion,заблуждение
dart,дротик
compelling,убедительный
colonial,колониальный
charitable,благотворительный
carton,коробка
boiling,кипячение
bate,бэйт
awaiting,в ожидании
assign,назначать
arrogance,высокомерие
takeover,перенимать
synchronize,синхронизировать
stalk,стебель
spleen,селезенка
spacecraft,космический корабль
slob,слякоть
prominent,видный
prise,приз
presumptuous,самонадеянный
prejudice,предубеждение
platoon,взвод
pickle,соленый огурец
permitted,разрешенный
mush,каша
mummy,Мама
macaroni,макароны
legendary,легендарный
itinerary,маршрут
hepatitis,гепатит
heave,поднимать
gender,Пол
fading,угасание
dumbest,самый тупой
dishwasher,посудомоечная машина
descriptive,описательный
cunning,хитрость
cripple,калечить
cove,бухта
compulsive,компульсивный
burglary,кража со взломом
bumpy,бугристый
blaze,пылать
affirmative,утвердительный
adrenaline,адреналин
unreal,нереально
taint,портить
spree,веселье
soak,замочить
sever,отрезать
scarce,дефицитный
scalp,скальп
rewind,перемотка
pretentious,претенциозный
planner,планировщик
placing,размещение
overrated,переоцененный
loathe,ненавидеть
joker,шутник
heater,обогреватель
grin,ухмылка
gospel,Евангелие
filter,фильтр
fertility,плодородие
exterior,внешний вид
epidemic,эпидемия
enterprise,предприятие
emerald,изумруд
ecstatic,восторженный
ecstasy,экстаз
duly,должным образом
distribution,распространение
clubhouse,клуб
clot,сгусток
cheater,мошенник
bursting,разрыв
breather,передышка
bending,изгиб
attendance,посещаемость
arsonist,поджигатель
valiant,доблестный
uphold,поддерживать
unarmed,безоружный
thrilling,захватывающий
thigh,бедро
terminate,прекратить
spiral,спираль
spaceship,космический корабль
salon,салон
ramp,пандус
quaint,причудливый
patronize,покровительствовать
patio,Патио
paddle,весло
mailman,почтальон
joyous,радостный
invincible,непобедимый
interpret,интерпретировать
insecurity,незащищенность
infamous,печально известный
fragment,фрагмент
exploit,эксплуатировать
dusty,пыльный
defy,бросить вызов
coy,застенчивый
countless,бесчисленное множество
conjure,заклинать
confine,ограничивать
chateau,замок
blur,размытие
bleach,отбеливатель
beck,манить
ban,запретить
backseat,заднее сиденье
accomplishment,достижение
wisely,мудро
wildlife,дикая природа
valet,камердинер
vaccine,вакцина
unnatural,неестественный
tasting,дегустация
seducing,соблазнение
secretive,скрытный
screwdriver,отвертка
rightfully,по праву
poorly,плохо
polling,опрос
pedestal,пьедестал
mystic,мистика
miniature,миниатюра
microscope,микроскоп
maple,клен
lantern,фонарь
infinite,бесконечный
incriminate,инкриминировать
hygiene,гигиена
harp,арфа
gage,датчик
freight,фрахт
fore,перед
flooding,наводнение
eliminated,устранен
deacon,диакон
cuter,симпатичнее
continental,континентальный
container,контейнер
cavity,полость
Capricorn,Козерог
atomic,атомный
wider,Шире
dumpling,клецки
underage,несовершеннолетний
truthfully,правдиво
tamper,вмешиваться
statute,статут
sparkling,сверкающий
sod,дерьмо
socially,социально
sideline,боковая линия
rhinoceros,носорог
railing,перила
puberty,половое созревание
phantom,фантом
pesky,надоедливый
outrage,возмущение
openly,открыто
nominate,назначить
itching,зуд
intuition,интуиция
icky,неприятный
humility,смирение
fishy,подозрительный
finch,зяблик
ferry,паром
excessive,чрезмерный
evolve,развиваться
eligible,имеющий право
dosage,дозировка
disrupt,нарушить
dipping,погружение
derange,сбивать с толку
cuckoo,кукушка
craziness,безумие
compatible,совместимый
circumstantial,косвенный
bunker,бункер
asthma,астма
arise,возникать
triad,триада
trashy,дрянной
tilt,наклон
thorn,шип
suburban,пригород
soothing,успокаивающий
slumber,дремать
slayer,убийца
shindig,Shindig
sentiment,настроение
riddance,избавление
purity,чистота
offshore,офшорный
massacre,резня
isolation,изоляция
impersonal,безличный
hoop,обруч
hamlet,Гамлет
footprint,след
fluke,случайность
festivity,праздник
feisty,дерзкий
evacuate,эвакуируюсь
detain,задерживать
defender,защитник
creeping,ползучий
classics,классика
bud,бутон
bitterness,горечь
baloney,вздор
ashtray,пепельница
apocalypse,апокалипсис
zillion,зиллион
wan,бледный
viable,жизнеспособный
sympathize,сочувствовать
squirt,брызги
spade,лопата
snappy,резкий
sleepover,ночевка
reunited,воссоединились
retainer,слуга
restroom,туалет
repercussion,последствия
relive,пережить заново
reef,риф
reconciliation,примирение
reconcile,примириться
recognise,признать
raven,ворон
prevail,преобладать
preach,проповедовать
omen,примета
noose,петля
meatloaf,мясной рулет
manicure,маникюр
landlady,хозяйка
hypothesis,гипотеза
homesick,тоска по дому
hive,улей
hectic,беспокойный
heartbreak,горе
haunting,преследующий
gall,желчь
frown,хмуриться
fingerprint,отпечаток пальца
extract,извлекать
expire,истекать
exhausting,утомительный
exceptional,исключительный
disregard,игнорировать
crisp,хрустящий
cooperative,кооператив
cling,цепляться
blender,блендер
bitty,битти
bead,шарик
badger,барсук
arch,арка
anticipation,ожидание
advocate,защищать
waterfront,набережная
upstanding,честный
unprofessional,непрофессиональный
unhealthy,нездоровый
turmoil,смятение
truthful,правдивый
toothpaste,зубная паста
thoughtless,легкомысленный
spun,закрученный
spook,напугать
shady,тенистый
senseless,бессмысленный
scooter,самокат
ringer,звонящий
refuge,убежище
pun,каламбур
preposterous,нелепый
portable,портативный
pastry,выпечка
loner,одиночка
jogging,бег трусцой
itchy,зудящий
insinuate,намекать
hospitality,гостеприимство
forthcoming,предстоящий
excess,избыток
etiquette,этикет
ending,окончание
edit,редактировать
dunk,замочить
distinction,различие
desist,воздерживаться
deprive,лишать
cloak,плащ
casserole,запеканка
beaver,бобр
bearer,носитель
applaud,аплодировать
appalling,ужасающий
trump,козырный
trench,траншея
touchdown,приземление
thaw,оттепель
tailor,портной
swoop,налетать
sticker,наклейка
smite,поразить
shameless,бесстыдный
researching,исследование
reclaim,вернуть
purposely,намеренно
proxy,доверенное лицо
pineapple,ананас
parasite,паразит
offspring,потомство
multiply,умножать
masculine,мужской
hoax,розыгрыш
gunfire,стрельба
furnace,печь
flyer,листовка
engrave,выгравировать
duplicate,дублировать
dome,купол
designate,назначить
delicatessen,гастроном
cryptic,загадочный
creed,вероучение
condemn,осуждать
colossal,колоссальный
clipper,машинка для стрижки
cliché,клише
clarity,ясность
banish,изгнать
argon,аргон
unicorn,единорог
uncanny,сверхъестественный
treasury,казначейство
technicality,техничность
static,статический
scales,напольные весы
satin,атлас
rosebud,бутон розы
relentless,безжалостный
rearrange,переставить
plunge,окунуться
obsolete,устаревший
moth,моль
mindless,бессмысленный
lullaby,Колыбельная
layout,макет
knob,ручка
grown up,взрослый
flashy,кричащий
epic,эпос
encode,кодировать
dread,страх
doodle,каракули
dealing,торговля
cupcake,кекс
console,консоль
conclusive,убедительный
bowel,кишечник
aura,аура
ape,обезьяна
announcing,объявляя
abide,соблюдать
wonderfully,чудесно
warfare,военное дело
wad,пачка
violate,нарушать
suicidal,суицидальный
skilled,опытный
sketchy,схематично
shoplifting,кража в магазине
quizmaster,викторина
profitable,прибыльный
politically,политически
peck,клевать
needless,ненужный
momentarily,мгновенно
midget,карлик
mercury,Меркурий
leukemia,лейкемия
idol,идол
fungus,грибок
extraction,добыча
explorer,исследователь
eighty,восемьдесят
chimera,химера
cheery,веселый
cadet,кадет
benign,доброкачественный
artillery,артиллерия
apiece,часть
abduction,похищение
virtual,виртуальный
unspeakable,невыразимый
unlimited,неограниченный
unidentified,неопознанный
twinkle,мерцать
transcript,стенограмма
temp,темп
surfing,серфинг
stricken,пораженный
stork,аист
sodium,натрий
snick,хихикать
sly,хитрый
retrieval,поиск
quickie,быстрый
playboy,плейбой
observer,наблюдатель
mope,хандрить
moan,стон
mausoleum,мавзолей
kangaroo,кенгуру
intensive,интенсивный
infest,заражать
incompetence,некомпетентность
horrified,в ужасе
grunt,ворчать
fracture,перелом
formerly,раньше
fireball,огненный шар
firearm,огнестрельное оружие
fend,парировать
examiner,экзаменатор
elite,элита
duke,герцог
dashing,лихой
curry,карри
crumb,крошка
crash down,рухнуть
courier,курьер
conclude,заключить
cockroach,таракан
boulevard,бульвар
bookie,букмекер
baptize,крестить
astronaut,космонавт
allegiance,верность
aiming,прицеливание
workplace,рабочее место
weave,ткать
weaker,слабее
suffocate,задыхаться
stench,зловоние
stark,суровый
spawn,порождать
sideway,боком
shortcut,ярлык
roam,бродить
repulsive,отталкивающий
provoke,провоцировать
plum,слива
penitentiary,пенитенциарное учреждение
norm,норма
milligram,миллиграмм
midge,мошка
lapse,истекать
knuckle,сустав
intercourse,половой акт
improvise,импровизировать
implant,имплант
hometown,родной город
handicap,инвалидность
giddy,головокружение
garland,гирлянда
gallant,галантный
furry,пушистый
fruitful,плодотворный
footing,опора
flop,плюхнуться
finding,находка
fib,выдумать
editorial,редакционная
discovering,открытие
detour,объезд
cuddle,обниматься
cub,детеныш
coordinate,координировать
collector,коллекционер
bane,проклятье
bailiff,судебный исполнитель
auditioning,прослушивание
aching,болит
woe,горе
usher,помощник
typically,обычно
tug,буксир
topless,топлес
squid,Кальмар
soy,соя
snowman,Снеговик
sensor,датчик
seller,продавец
renown,известность
reflex,рефлекс
recruiting,набор
raisin,изюм
racial,расовый
pyramid,пирамида
preservation,сохранение
portfolio,портфолио
pilgrim,паломник
patriot,патриот
oversight,надзор
merciful,милосердный
magistrate,магистрат
intimidating,устрашающий
infirmary,лазарет
inconvenient,неудобно
imposter,самозванец
godforsaken,забытый богом
funk,фанк
forgery,подделка
foolproof,надежный
folder,папка
flattery,лесть
fingertip,кончик пальца
exterminator,истребитель
eccentric,эксцентричный
dodgy,хитрый
constructive,конструктивный
compartment,купе
bodily,телесно
armour,броня
alimony,алименты
accustomed,привыкший
wallow,валяться
vicinity,окрестности
venue,место проведения
upgrade,Обновить
upcoming,предстоящий
untrue,неправда
uncover,раскрыть
twig,веточка
trembling,дрожь
taunt,насмехаться
tar,деготь
strand,прядь
seizure,захват
savvy,смекалка
rile,раздражать
revive,возродить
retard,тормозить
recruit,новобранец
rationally,рационально
provenance,происхождение
prestigious,престижный
perky,задорный
pedal,педаль
overdose,передозировка
nasal,носовой
mushy,мягкий
mover,движитель
moot,спор
melodramatic,мелодраматический
medic,медик
manure,навоз
magnetic,магнитный
knockout,выбить
knitting,Вязание
idle,праздный
hotline,горячая линия
hammock,гамак
framing,обрамление
flap,хлопать
flannel,фланель
existing,существующий
eavesdrop,подслушивать
dwarf,карлик
doggy,собачка
constellation,созвездие
collision,столкновение
chic,шикарный
bleak,мрачный
blacked,почерневший
batter,тесто
archer,лучник
ante,анте
aggravate,усугублять
vocal,вокал
unwind,размотать
twitch,дергаться
taxpayer,налогоплательщик
reinforce,укреплять
dew,роса
dictation,диктовка
dilute,разбавлять
disintegrate,распадаться
disposable,одноразовый
disqualify,дисквалифицировать
dissolve,растворяться
distinguish,различать
doctrine,доктрина
dolphin,дельфин
dominant,доминирующий
dominate,доминировать
downward,вниз
drench,мочить
dub,дублировать
dynamic,динамичный
earlobe,мочка уха
ebony,черное дерево
ecology,экология
egotistical,эгоистичный
elated,приподнятый
elitist,элитарный
eloquent,красноречивый
emphasize,подчеркивать
enjoyable,приятным
Fahrenheit,Фаренгейт
flirtatious,кокетливый
gymnasium,гимназия
hallucinate,галлюцинировать
incorporate,включать
increasingly,все больше
ivy,плющ
jigsaw,головоломка
locomotive,локомотив
materialistic,материалистический
parliamentary,парламентский
parlour,гостиная
pastel,пастель
precipitation,атмосферные осадки
predicate,предикат
prediction,предсказание
prefecture,префектура
procession,шествие
prohibit,запретить
Protestant,Протестантский
quotation,цитата
realization,реализация
recession,спад
recreation,отдых
reorganize,реорганизовать
repetitious,повторяющийся
reproduction,воспроизведение
whereby,согласно которому
saxophone,саксофон
scallion,зеленый лук
sesame,кунжут
aback,опешить
abash,смущаться
abate,утихать
abdicate,отречься
abject,жалкий
absolve,прощать
abstain,воздерживаться
abundance,изобилие
acclaim,признание
accrue,накапливать
accuracy,точность
acerbity,терпкость
acorn,желудь
acquit,оправдать
acrid,едкий
adjacent,смежный
adjoin,примыкать
admonish,увещевать
adroit,ловкий
adultery,супружеская измена
aerial,воздушный
affinity,близость
affliction,несчастье
affront,оскорблять
aghast,в ужасе
heather,вереск
zap,зап
zeal,рвение
zoology,зоология
yawn,зевать
yeast,дрожжи
yolk,желток
yearn,тосковать
wail,вопить
whet,точить
whimper,хныкать
whirlpool,водоворот
willow,ива
wistful,задумчивый
wistful,задумчивый
wreath,венок
wrest,бороться
wriggle,извиваться
wry,криво
vane,флюгер
vehemence,пылкость
vexation,досада
vivacious,живой
voracious,прожорливый
udder,вымя
up-to-date,своевременно
tapestry,гобелен
tardy,опоздавший
thimble,наперсток
throng,толпа
thump,удар
thwart,помешать
tinge,оттенок
tinsel,мишура
tongs,щипцы
topple,опрокидывать
transgress,нарушать
treble,тройной
trifle,мелочь
truant,прогульщик
tumult,шум
twine,шпагат
alight,горит
alignment,выравнивание
alleviate,облегчить
amiable,любезный
annihilate,уничтожать
antler,рог
arable,пахотный
arid,засушливый
asunder,разделить
audacious,дерзкий
augment,увеличение
bayonet,штык
beehive,улей
beseech,умолять
besiege,осаждать
bile,желчь
blemish,порок
blunder,грубая ошибка
boisterous,шумный
bough,сук
brazen,наглый
brevity,краткость
bristle,щетина
brittle,хрупкий
broth,бульон
buck,доллар
buckle,пряжка
bulging,выпуклый
callous,бездушный
caprize,каприз
caraway,тмин
cloister,монастырь
coexist,сосуществовать
confound,путать
countenance,выражение лица
covetous,алчный
cower,съеживаться
crag,скала
crevice,щель
crutch,костыль
cumbersome,громоздкий
daub,мазня
decadence,декаданс
den,логово
depict,изображать
depot,депо
depreciate,обесценивать
derivative,производная
destitute,нищий
deterrent,средство устрашения
devaluation,девальвация
devise,изобретать
devoid,лишенный
devour,пожирать
devout,набожный
diffident,застенчивый
digress,отвлечься
dimple,ямочка
din,шум
disarm,разоружить
discern,различать
discontent,недовольство
discord,раздор
disdain,презрение
disembark,высадиться
disfigure,обезображивать
dishearten,унывать
dishonour,бесчестье
disillusion,разочарование
disinterested,бескорыстный
dismantle,разбирать
dismount,спешиваться
dispense,раздавать
disperse,рассеивать
displace,вытеснять
displease,недовольство
disquiet,беспокоить
dissipate,рассеиваться
distil,дистиллировать
distort,искажать
distrust,недоверие
diverge,расходиться
doleful,печальный
droop,поник
dropper,капельница
drudgery,тяжелая работа
drunkard,пьяница
dual,двойной
dubious,сомнительный
dummy,манекен
dune,дюна
dung,навоз
durable,прочный
edifice,здание
eel,угорь
efface,стирать
effeminate,женоподобный
efficacious,действенный
Egyptian,Египтянин
elapse,истекать
elegance,элегантность
elk,лось
elusive,неуловимый
embezzlement,растрата
emblem,эмблема
embody,воплощать
embryo,эмбрион
emigrant,эмигрант
eminence,преосвященство
emit,испускают
emptiness,пустота
enact,принимать
enamel,эмаль
encircle,окружать
enclose,заключать
encroach,посягать
encumber,обременять
endeavour,стремиться
endurance,выносливость
enlist,завербовать
enliven,оживить
enmity,враждебность
enrage,бесить
enrapture,восхищение
ensue,последовать
entangle,запутывать
entice,соблазнять
entrails,внутренности
entreat,умолять
entrust,доверить
enumerate,перечислять
enviable,завидный
envoy,посланник
epoch,эпоха
equanimity,невозмутимость
equilibrium,равновесие
eradicate,искоренить
evade,уклоняться
evaporate,испариться
ewe,овца
exalt,превозносить
excursion,экскурсия
exemplify,служить примером
expulsion,изгнание
exaltation,экзальтация
falter,колебаться
feign,притворяться
ferment,брожение
fern,папоротник
fervent,пылкий
feud,вражда
fidelity,верность
fidget,непоседа
fiery,огненный
Finnish,Финский
flax,лен
fleeting,мимолетный
flicker,мерцание
flimsy,хлипкий
flippant,легкомысленный
flint,кремень
flog,пороть
flounder,камбала
flutter,трепетать
fodder,корм
foe,враг
folly,глупость
forbear,терпеть
forefather,праотец
forestall,предупреждать
formidable,грозный
forsake,оставить
fowl,курица
frail,хилый
frantic,неистовый
freckless,без веснушек
frock,платье
frontier,граница
froth,пена
frugal,скромный
furrow,борозда
furtively,украдкой
gaiety,веселье
gallop,галопом
gargle,полоскание
gaunt,изможденный
gauntlet,перчатка
gauze,марля
gelatine,желатин
gem,самоцвет
genial,гениальный
germinate,прорастать
ghastly,ужасно
giddiness,головокружение
gland,железа
glaze,глазурь
gleam,проблеск
glide,скользить
glimmer,мерцать
glisten,блестеть
glitter,блеск
glorify,прославлять
gnaw,грызть
granary,зернохранилище
granite,гранит
granulated,гранулированный
gratification,удовлетворение
grating,решетка
gravitation,гравитация
graze,пастись
grimace,гримаса
grit,твердость
gruff,грубый
grumble,ворчать
gulp,глоток
gurgle,бульканье
gush,фонтанный
haberdashery,галантерея
haemorrhage,кровотечение
haggard,изможденный
harmonious,гармоничный
harrow,борона
haughty,надменный
haunch,бедро
hazy,туманный
heartburn,изжога
heathen,язычник
hem,подол
hinge,петля
hiss,шипение
hoard,копить
hoarfrost,иней
hoof,копыто
hosiery,трикотаж
howl,вой
hue,оттенок
husk,шелуха
immovable,недвижимый
impediment,препятствие
impel,побуждать
impending,надвигающийся
imperial,имперский
impertinent,дерзкий
imperturbable,невозмутимый
impetus,толчок
implore,умолять
improper,неподходящий
impunity,безнаказанность
inability,неспособность
inadequate,неадекватный
inadmissible,недопустимый
inborn,врожденный
inconceivable,непостижимый
inconsistency,непоследовательность
indebted,в долгу
indecision,нерешительность
indefinite,неопределенный
indignant,возмущенный
indispensable,незаменимый
indisputable,бесспорный
indistinct,нечеткий
ineffective,неэффективный
inefficient,неэффективный
inert,инертный
inestimable,бесценный
inexhaustible,неиссякаемый
inexorable,неумолимый
infallible,непогрешимый
infatuated,увлеченный
infer,сделать вывод
inferior,низший
inflate,надуть
influx,приток
infringement,нарушение
infuriate,бесить
ingratitude,неблагодарность
injunction,судебный запрет
inopportune,неподходящий
insoluble,нерастворимый
intrepid,бесстрашный
involuntary,непроизвольный
iodine,йод
irksome,надоедливый
irreproachable,безупречный
irrigate,орошать
jack-knife,складной нож
jagged,зазубренный
javelin,копье
jeer,издеваться
jest,шутка
jolt,встряхнуть
jovial,веселый
judicious,рассудительный
jut,выступ
keel,киль
kernel,ядро
kindle,зажигать
know-how,секрет производства
lacquer,лак
laden,загруженный
ladle,ковш
lag,отставание
lame,ламе
lament,сетовать
lash,плеть
latch,защелка
lathe,токарный станок
lather,пена
laurel,лавр
lavender,лаванда
levy,взимать
lilac,сирень
lime-tree,лаймовое дерево
linger,задерживаться
locust,саранча
loin,поясница
louse,вошь
lubricant,смазка
lukewarm,теплый
lull,убаюкивать
luminous,светящийся
luscious,сочный
lustre,блеск
luxuriant,пышный
magpie,сорока
maim,калечить
malt,солод
mammoth,мамонт
mane,грива
manuscript,рукопись
marten,куница
mast,мачта
meek,кроткий
melon,дыня
militant,воинствующий
mimic,имитировать
mince,фарш
mirth,веселье
mitten,рукавица
morsel,кусочек
montley,Монтли
muffle,заглушить
mulberry,шелковица
mumble,бормотать
mural,фреска
musty,затхлый
mutilate,калечить
muzzle,морда
nautical,морской
neigh,ржать
nettle,крапива
niche,ниша
nimble,шустрый
nominal,номинальный
noncommittal,уклончивый
nondescript,невзрачный
nook,укромный уголок
notwithstanding,несмотря на
oblique,косой
oblong,продолговатый
oppress,угнетать
ostentatious,показной
otter,выдра
quail,перепел
quaver,дрожать
quay,набережная
quiver,колчан
paltry,ничтожный
pang,боль
pansy,анютины глазки
pant,штаны
parch,пергамент
pare,урезать
parish,приход
parson,пастор
partition,раздел
patter,скороговорка
patty,Пэтти
peal,звон
pebble,камешек
penal,штраф
pendulum,маятник
pensive,задумчивый
peppermint,мята перечная
perch,окунь
perplex,недоумение
persecute,преследовать
perverse,извращенный
phonebooth,телефонная будка
physique,телосложение
pimple,прыщ
pitfall,ловушка
plaice,камбала
plaid,плед
plaintiff,истец
plait,коса
pleat,складка
plentiful,обильный
pliable,податливый
plight,тяжелое положение
plod,тащиться
plunder,грабить
plywood,фанера
polarity,полярность
ponder,размышлять
poplar,тополь
posterity,потомство
potter,гончар
pouch,мешочек
pounce,внезапно атаковать
pout,дуться
prelude,прелюдия
prerogative,прерогатива
pretence,притворство
pretext,предлог
prism,призма
prologue,пролог
propel,продвигать
proprietary,проприетарный
proprietor,собственник
provocation,провокация
pulp,мякоть
pulverize,распылять
pungent,острый
purr,мурлыкать
ragged,оборванный
rake,грабли
ram,ОЗУ
rascal,негодяй
ravage,опустошать
reap,пожинать
rebuff,отпор
rebuke,упрекать
recline,откидываться
recognition,признание
recompense,вознаграждение
reconnaissance,разведка
refrain,воздерживаться
refutation,опровержение
regent,регент
rejoice,радоваться
relinquish,отказаться
remittance,денежный перевод
rend,раздирать
repent,покаяться
repress,подавлять
reprimand,выговор
reproach,упрек
reproof,порицание
resolute,решительный
resound,звучать
respite,передышка
restoration,восстановление
resurrection,воскрешение
retaliate,отомстить
reticence,сдержанность
retinue,свита
retort,возражать
rhubarb,ревень
rift,трещина
rite,обряд
rivet,заклепка
roe,икра
romp,возня
rook,ладья
rouse,возбуждать
rove,бродить
rowan,рябина
rudder,руль
ruffian,хулиган
rumble,грохотать
rummage,рыться
rustic,деревенский
rustle,шорох
rut,колея
sable,соболь
sacrament,причастие
sag,провисать
sagacious,проницательный
sardine,сардина
satire,сатира
scaffolding,строительные леса
scald,ошпарить
scanty,скудный
scorch,опалять
scoundrel,негодяй
scowl,хмуриться
scribble,каракули
scrupulous,щепетильный
scythe,коса
seclude,уединение
seethe,кипеть
selfservice,самообслуживание
semblance,подобие
sequel,продолжение
shaggy,лохматый
shear,срезать
sherry,шерри
shingle,галька
shrill,пронзительный
shrivel,сморщиваться
shrub,кустарник
shudder,содрогаться
shuffle,тасовать
shun,избегать
sickle,серп
siege,осада
sift,просеять
sill,подоконник
silliness,глупость
sinew,сухожилие
singe,опалить
skipper,шкипер
skirmish,стычка
sluice,шлюз
slush,слякоть
smother,задушить
smoulder,тлеть
snarl,рычать
sneer,насмешка
snort,фырканье
snout,морда
snug,уютно
solder,припаять
soloist,солистка
soluble,растворимый
spatter,брызги
spectrum,спектр
spinach,шпинат
spittle,плевок
splinter,заноза
sprinter,спринтер
squeak,писк
stagger,шататься
standpoint,точка зрения
staunch,стойкий
steed,конь
steeple,шпиль
steppe,степь
sterile,стерильный
steward,стюард
stifle,душить
stipulate,оговаривать
stocking,чулок
stoker,кочегар
stout,толстый
stow,укладывать
strenuous,напряженный
strew,посыпать
stripe,полоса
strive,стремиться
stubble,щетина
stump,пень
stupendous,изумительный
sturdy,крепкий
stutter,заикаться
subdivide,подразделять
subside,утихать
subsist,существовать
substance,вещество
suede,замша
sulk,дуться
sullen,угрюмый
sultry,знойный
sumptuous,роскошный
sunken,затонувший
superfluous,лишний
superintend,руководить
superintendent,суперинтендант
supersede,заменить
supplant,вытеснять
supple,гибкий
suppress,подавлять
surmise,догадываться
surmount,преодолевать
swarthy,смуглый
sway,качаться
swerve,свернуть
swindle,мошенничество
swine,свинья
synthesis,синтез
zealot,фанатик
zealous,усердный
zenith,зенит
zigzag,зигзаг
zodiac,зодиак
yank,дергать
yap,трепло
yelp,визг
yoke,ярмо
yowl,вой
abattoir,скотобойня
abattoir,скотобойня
abbot,аббат
abed,кровать
abberance,аббатство
abberant,аббатский
abet,подстрекать
abhor,ненавидеть
abhorrence,отвращение
abhorrent,отвратительный
abjection,отвержение
abjure,отречься
ablative,абляционный
ablaze,гореть
able-bodied,трудоспособный
ably,умело
abnegate,отвергать
abnegation,отказ
abnormality,нарушение
abolishment,отмена
aboninable,живущий
abonnement,подписка
aboriginal,абориген
aborigines,аборигены
abortive,неудачный
above-average,выше среднего
aboveboard,над бортом
abrasive,абразивный
abreast,в ряд
abridge,сокращать
abruptness,резкость
absently,рассеянно
absolution,отпущение грехов
absorbing,поглощающий
abyss,бездна
accede,присоединяться
acceleration,ускорение
accolade,похвала
accommodating,приспособление
accompaniment,сопровождение
accordance,соответствие
accredited,аккредитованный
accuser,обвинитель
acheless,тем не менее
achy,больной
acne,акне
acquisition,получение
actual,актуальный
adaptation,приспособление
addressee,адресат
adept,адепт
adherence,приверженность
admiration,восхищение
admonishment,предостережение
ado,адо
adornment,украшение
adulate,лести
adulatory,прелюбодейный
adulthood,совершеннолетие
advancement,продвижение
adverse,неблагоприятный
adversity,невзгоды
advisedly,сознательно
advocacy,пропаганда
affable,приветливый
affluence,достаток
affluent,богатый
afloat,на плаву
afterthought,запоздалая мысль
aggregate,совокупность
agreeable,приятный
ail,больной
ailment,недуг
aimless,бесцельный
air-condition,кондиционер
airless,безвоздушный
air-tight,герметичный
airy,воздушный
akin,похожий
alacrity,живость
albeit,хотя
alcove,альков
alertness,бдительность
allay,успокаивать
allocate,выделить
all-purpose,универсальный
allure,очарование
aloof,отчужденный
alteration,изменение
ambient,окружающий
ambiguity,двусмысленность
amendable,изменяемый
amenity,удобства
amoral,аморальный
amorphous,аморфный
amplify,усилить
amplitude,амплитуда
anchovy,анчоусы
angrily,сердито
anguish,тоска
angular,угловатый
annotation,аннотация
anoitment,помазание
antagonize,противодействовать
antarctic,Антарктика
antecedent,предшествующий
antenna,антенна
anteroom,прихожая
antisocial,антисоциальный
antiterrorist,антитеррористический
apathy,апатия
aplenty,в изобилии
apostrophe,апостроф
appal,ужас
appellation,наименование
append,добавить
appetizing,аппетитный
applicant,заявитель
appraisal,оценка
approbation,апробация
aptitude,способность
aptly,метко
archaic,архаичный
archery,стрельба из лука
archly,лукаво
ardently,горячо
arduous,трудный
armament,вооружение
armature,арматура
armless,безрукий
armory,оружейная
array,массив
articulate,сформулировать
artless,бесхитростный
artsy,вычурный
ascension,восхождение
ashy,пепельный
askew,косо
asperity,неровность
aspirant,претендент
assail,нападать
assort,сортировать
assortment,ассортимент
assuage,успокаивать
assumptive,предполагаемый
assuredness,уверенность
astound,поразить
atonement,искупление
atrocity,зверство
attachment,привязанность
attentive,внимательный
attenuate,ослаблять
attest,засвидетельствовать
attestation,аттестация
attire,наряд
attrition,потертость
attune,настроить
aubergine,баклажан
audacity,дерзость
audibly,слышно
auditory,слуховой
auspice,покровительство
avenge,отомстить
avert,предотвратить
avid,заядлый
avouch,одобрять
avow,признавать
aweless,бесстрашный
axis,ось
backache,боль в спине
baggy,мешковатый
bagpipe,волынка
balk,упираться
ballot,бюллетень
banal,банальный
banter,подшучивать
baseless,безосновательный
bashful,застенчивый
basin,бассейн
bask,греться
bazaar,базар
beastly,зверски
beautify,украсить
bedding,постельные принадлежности
bedevil,сбивать с толку
bedridden,прикованный к постели
beefy,мясистый
befriend,дружить
beggarly,нищий
begrudge,завидовать
bellow,рев
benefactor,благотворитель
benevolence,доброжелательность
benevolent,доброжелательный
benignity,доброжелательность
berth,причал
berth,причал
beset,окружать
bestial,звериный
bestiality,зоофилия
bestow,даровать
bewitch,завораживать
big-hearted,с добрым сердцем
bigot,фанатик
bilingual,двуязычный
bite-size,размер укуса
blackcurrant,черная смородина
blackness,чернота
blameless,безупречный
blare,рев
